awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
SHF: Medium: Collaborative Research: Ultra-Responsive Architectures for Mobile Platforms,07/01/2015,04/30/2017,115228,Continuing grant,01/27/2016,01/27/2016,,1623834,Tao Li,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
SusChEM: Focus on Sustainability-Integrated Approaches to Materials for Sustainable Development,03/15/2016,02/28/2017,73334,Standard Grant,03/14/2016,03/14/2016,,1619487,Michael J. Scott,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Materials Research Society,Warrendale,150867573,7247792732,506 KEYSTONE DR,United States,Pennsylvania,PA
8th African Materials Research Society Conference,12/15/2015,11/30/2016,45000,Standard Grant,12/04/2015,12/04/2015,,1601870,Michael J. Scott,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Materials Research Society,Warrendale,150867573,7247792732,506 KEYSTONE DR,United States,Pennsylvania,PA
"Maass Forms in Algebra, Arithmetic Geometry, Combinatorics, Representation Theory, and String Theory",06/01/2016,05/31/2019,111861,Continuing grant,04/01/2016,04/01/2016,,1601306,Andrew D. Pollington,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Emory University,Atlanta,303224250,4047272503,"1599 Clifton Rd NE, 4th Floor",United States,Georgia,GA
"Indo-US Workshop on ""Cell Factories"" to be held in Mumbai, India",04/01/2016,03/31/2017,15910,Standard Grant,03/23/2016,03/23/2016,,1630180,Susanne von Bodman,08070000,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
"Interaction of Water with Polymer Surfaces: Consequence on Wetting, Adhesion, and Friction",06/01/2016,05/31/2019,135000,Continuing grant,03/15/2016,03/15/2016,,1610483,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Akron,Akron,443250001,3309727666,302 Buchtel Common,United States,Ohio,OH
I-Corps: Interactive Co-operative Tracking of Heterogeneous Networked Multi-Agent Systems for Advanced Composites Manufacturing and Repair,03/15/2016,08/31/2016,50000,Standard Grant,03/09/2016,03/09/2016,,1631983,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
Collaborative Research: What hydrogeochemical processes control weathering in the deep critical zone of unburied karst landscapes?,08/15/2015,07/31/2017,194940,Standard Grant,02/24/2016,02/24/2016,,1630044,Enriqueta Barrera,06030205,Directorate For Geosciences,Directorate For Geosciences,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
Development and Study of Structurally-Dynamic Covalent Polymers,07/01/2016,06/30/2019,434441,Standard Grant,03/15/2016,03/15/2016,,1609076,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
I-Corps: Cold Plasma Cancer Therapy,04/15/2016,09/30/2016,50000,Standard Grant,04/06/2016,04/06/2016,,1637906,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,George Washington University,Washington,200522000,2029946255,2121 Eye Street NW,United States,District of Columbia,DC
CAREER: Integrated Research and Education on the Electro-Mechanical Behavior of Multifunctional Structural Coatings,01/01/2016,02/28/2018,291207,Standard Grant,03/11/2016,03/11/2016,,1632305,Thomas F. Kuech,07030000,Directorate For Engineering,Directorate For Engineering,University of California-San Diego,La Jolla,920930934,8585344896,Office of Contract & Grant Admin,United States,California,CA
"Broadening Participation and Increasing the Success of Low-Income Students in Science, Technology, Engineering, and Mathematics: A Knowledge Exchange Workshop",03/15/2016,02/28/2017,264248,Standard Grant,03/09/2016,03/09/2016,,1634807,Connie K. Della-Piana,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,Association of American Colleges and Universities,Washington,200091604,2023873760,1818 R ST NW,United States,District of Columbia,DC
Qualitative Studies of Some Partial Differential Equations and Systems,07/01/2016,06/30/2019,159867,Continuing grant,04/12/2016,04/12/2016,,1601885,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Texas at San Antonio,San Antonio,782499113,2104584340,One UTSA Circle,United States,Texas,TX
"Collaborative Research: Oxygen Fugacity (i.e., Chemical Activity) in the Upper Mantle: Intercalibration of Upper-Mantle Oxybarometers with State-of-the-Art Analytical Techniques",10/01/2015,07/31/2017,165527,Standard Grant,12/14/2015,12/14/2015,,1620276,Barbara L. Ransom,06040200,Directorate For Geosciences,Directorate For Geosciences,University of Delaware,Newark,197162553,3028312136,210 Hullihen Hall,United States,Delaware,DE
EARS: Collaborative Research: Cognitive Mesh: Making Cellular Networks More Flexible,09/23/2015,12/31/2017,166679,Standard Grant,11/17/2015,11/17/2015,,1613682,Thyagarajan Nandagopal,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Houston,Houston,772042015,7137435773,4800 Calhoun Boulevard,United States,Texas,TX
Doctoral Dissertation Improvement Award: Examining Long Term Social Interaction And Change,03/01/2016,02/28/2017,9188,Standard Grant,02/23/2016,02/23/2016,,1606379,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Alabama Tuscaloosa,Tuscaloosa,354870005,2053485152,801 University Blvd.,United States,Alabama,AL
"Collaborative Research: Travel Support for Students to Attend the 2016 Industrial and Systems Engineering Research Conference (ISERC); Anaheim, California; May 21-24, 2016",02/01/2016,07/31/2016,5000,Standard Grant,02/02/2016,02/02/2016,,1619669,Diwakar Gupta,07030000,Directorate For Engineering,Directorate For Engineering,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
Molecular Understanding and Design of Physically-linked Double Network Hydrogels,07/01/2016,06/30/2019,121979,Continuing grant,03/15/2016,03/15/2016,,1607475,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Akron,Akron,443250001,3309727666,302 Buchtel Common,United States,Ohio,OH
Doctoral Dissertation Improvement Award: DNA Analysis As A Tool For Understanding Population Movement,05/01/2016,04/30/2017,25038,Standard Grant,04/12/2016,04/12/2016,,1622479,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
DISSERTATION RESEARCH: The Effect of Plant Dispersal on Ecosystem Function,05/01/2016,04/30/2018,16361,Standard Grant,03/15/2016,03/15/2016,,1601508,Douglas Levey,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Syracuse University,SYRACUSE,132441200,3154432807,OFFICE OF SPONSORED PROGRAMS,United States,New York,NY
Understanding the Hoosick Falls Water Crisis,04/01/2016,03/31/2017,89810,Standard Grant,03/09/2016,03/09/2016,,1634237,Yvette Weatherton,11040000,Direct For Education and Human Resources,Direct For Education and Human Resources,Bennington College,Bennington,052016003,8024404382,One College Drive,United States,Vermont,VT
"DISSERTATION RESEARCH: Weedy Brassica rapa in Mexico: a unique study system to investigate potential ongoing ""redomestication"" of a feral crop",05/01/2016,04/30/2017,19862,Standard Grant,04/04/2016,04/04/2016,,1601430,Janice Bossart,08010207,Direct For Biological Sciences,Direct For Biological Sciences,University of Wisconsin-Madison,MADISON,537151218,6082623822,21 North Park Street,United States,Wisconsin,WI
DISSERTATION RESEARCH: The nexus of observation and modeling of methane emissions from inland water bodies,09/01/2016,08/31/2017,19065,Standard Grant,04/12/2016,04/12/2016,,1601224,Louis Kaplan,08010209,Direct For Biological Sciences,Direct For Biological Sciences,Ohio State University,Columbus,432101016,6146888735,Office of Sponsored Programs,United States,Ohio,OH
GP-IMPACT: Engagement of Students and Faculty at Community Colleges to Enhance Recruitment to 4-Year Geoscience Programs,04/01/2016,03/31/2019,415988,Standard Grant,03/31/2016,03/31/2016,,1600376,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,University of Tennessee Knoxville,KNOXVILLE,379960003,8659743466,1 CIRCLE PARK,United States,Tennessee,TN
CIF: Small: Optimizing Two-way Communications with Feedback,08/15/2015,08/31/2016,139375,Standard Grant,12/08/2015,12/08/2015,,1620794,Richard Brown,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Illinois at Chicago,Chicago,606124305,3129962862,809 S MARSHFIELD,United States,Illinois,IL
CAREER: User-Space Protection Domains for Compositional Information Security,01/01/2016,12/31/2016,175696,Continuing grant,02/17/2016,02/17/2016,,1624124,Sol J. Greenspan,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
EAGER: Collaborative: Toward a Test Bed for Heavy Vehicle Cyber Security Experimentation,01/01/2016,12/31/2017,170000,Standard Grant,12/24/2015,12/24/2015,,1619690,Ralph Wachter,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Tulsa,Tulsa,741049700,9186312192,800 S. Tucker Drive,United States,Oklahoma,OK
International Cooperative Administrative Support Services (ICASS) Cost,02/01/2016,01/31/2017,228580,Interagency Agreement,02/02/2016,03/09/2016,,1624479,W. Y. B. Chang,01090000,Office Of The Director,Office Of The Director,International Cooperative Administrative Support Services,Washington,200370000,None,2401 E St NW FL15,United States,District of Columbia,DC
"AmeriMech Symposium: Mechanical Behavior of 2D Materials (Graphene and Beyond); Austin, Texas; April 4-6, 2016",03/01/2016,02/28/2017,6000,Standard Grant,02/02/2016,02/02/2016,,1625862,Kara Peters,07030000,Directorate For Engineering,Directorate For Engineering,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
RUI: Generalized Gauss Maps and Divergent Orbits,05/01/2016,04/30/2019,142304,Standard Grant,04/07/2016,04/07/2016,,1600476,Bruce Kitchens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,San Francisco State University,San Francisco,941321722,4154053943,1600 Holloway Ave,United States,California,CA
Business R&D and Innovation Survey Operations and Related Activities-Census Bureau,10/06/2015,10/31/2017,3668875,Contract Interagency Agreement,11/23/2015,11/23/2015,,1600629,RAYMOND M WOLFE,04030005,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Bureau of the Census,Washington,20233,None,None,United States,District of Columbia,DC
US Ignite: Track 1: Collaborative Research: DISTINCT: A Distributed Multi-Loop Networked System for Wide-Area Control of Large Power Grids,09/01/2015,08/31/2018,150000,Standard Grant,01/27/2016,01/27/2016,,1620871,Bruce M. Kramer,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
GP-EXTRA: Engaging and retaining students in the geosciences at two-year colleges (2YC) through undergraduate research,06/01/2016,05/31/2019,307242,Standard Grant,03/31/2016,03/31/2016,,1600177,Jill L. Karsten,06010000,Directorate For Geosciences,Directorate For Geosciences,Austin Community College,Austin,787524341,5122237000,5930 Middle Fiskville Road,United States,Texas,TX
I-Corps: LabMate: Accelerated Empirical Process Optimization,01/15/2016,06/30/2016,50000,Standard Grant,01/11/2016,01/11/2016,,1623032,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
TWC: Medium: Collaborative: Hiding Hay in a Haystack: Integrating Censorship Resistance into the Mainstream Internet,07/26/2015,08/31/2018,515026,Standard Grant,12/10/2015,12/10/2015,,1612872,Ralph Wachter,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
I-Corps: Development of Imaging System with Large-Size Germanium Detectors,01/01/2016,06/30/2016,50000,Standard Grant,12/29/2015,12/29/2015,,1613265,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of South Dakota Main Campus,Vermillion,570692307,6056775370,414 E CLARK ST,United States,South Dakota,SD
AM-WATCH: Additive Manufacturing - Workforce Advancement Training Coalition and Hub,08/01/2016,07/31/2019,900000,Standard Grant,04/12/2016,04/12/2016,,1601587,Ece Yaprak,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Tennessee Technological University,Cookeville,385050001,9313723374,Dixie Avenue,United States,Tennessee,TN
"Support for Active and Smart Matter: A New Frontier for Science and Engineering Conference; Syracuse University; June 20-23, 2016",03/01/2016,08/31/2016,20000,Standard Grant,01/15/2016,01/15/2016,,1602298,Daryl W. Hess,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Syracuse University,SYRACUSE,132441200,3154432807,OFFICE OF SPONSORED PROGRAMS,United States,New York,NY
Library of Congress (FEDLINK),01/15/2016,07/31/2016,18500,Contract Interagency Agreement,12/22/2015,12/22/2015,,1621675,Sylvia J. Spengler,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Library of Congress,Washington,200245105,None,"10 First Street, S.E.",United States,District of Columbia,DC
Hardy/BMO spaces and Fourier Multipliers in the Noncommutative Setting,08/13/2015,07/31/2016,50355,Standard Grant,02/11/2016,02/11/2016,,1632435,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Baylor University,Waco,767987360,2547103817,One Bear Place #97360,United States,Texas,TX
Re-evaluating Mechanisms of RNA-mediated Initiation of Transposable Element Silencing in Plants,04/15/2016,03/31/2019,740149,Standard Grant,03/30/2016,03/30/2016,,1608392,Karen C. Cone,08070000,Direct For Biological Sciences,Direct For Biological Sciences,Ohio State University,Columbus,432101016,6146888735,Office of Sponsored Programs,United States,Ohio,OH
