awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606310,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cook Nicholas A,Los Angeles,900951555,None,None,United States,California,CA
Flagellar Membrane Signaling Protein Transport Mechanisms: A Single-Molecule Study,07/01/2015,02/28/2017,377494,Continuing grant,10/19/2015,10/19/2015,,1602799,Gregory W. Warr,08070600,Direct For Biological Sciences,Direct For Biological Sciences,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
DISSERTATION RESEARCH: The role of Maternal Hormones in Programming Offspring Aggression,06/01/2016,05/31/2017,18719,Standard Grant,03/24/2016,03/24/2016,,1601396,Jodie Jawor,08090500,Direct For Biological Sciences,Direct For Biological Sciences,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
I-Corps: Noninvasive method for assessing cardiovascular stress arising from acute exposure to nanoparticles,04/15/2016,09/30/2016,49468,Standard Grant,04/04/2016,04/04/2016,,1637682,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of North Carolina Greensboro,GREENSBORO,274125013,3363345878,1111 Spring Garden Street,United States,North Carolina,NC
I-Corps: Easy-to-Use Software for Automation,02/01/2016,07/31/2016,50000,Standard Grant,02/01/2016,02/01/2016,,1624112,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1604503,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Switala Nicholas,Lincoln,68508,None,None,United States,Nebraska,NE
2016 IEEE International Symposium on Information Theory Student Travel Support,01/01/2016,09/30/2016,20000,Standard Grant,12/14/2015,12/14/2015,,1611969,Richard Brown,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Princeton University,Princeton,085442020,6092583090,Off. of Research & Proj. Admin.,United States,New Jersey,NJ
I-Corps: High Risk Patient Monitoring during Magnetic Resonance Imaging,01/01/2016,06/30/2016,50000,Standard Grant,12/08/2015,12/08/2015,,1617340,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
RAPID: Adaptive Management of Geotechnical Construction in Urban Areas,12/01/2015,11/30/2016,166659,Standard Grant,12/21/2015,12/21/2015,,1603060,Richard J. Fragaszy,07030000,Directorate For Engineering,Directorate For Engineering,Northwestern University,Evanston,602013149,8474913003,1801 Maple Ave.,United States,Illinois,IL
Nanoscale Organic Hybrid Materials (NOHMs),05/01/2016,04/30/2020,145000,Continuing grant,02/12/2016,02/12/2016,,1609125,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
I-Corps: Fluid Volume Responsiveness Monitor to Support the Care of Septic Patients,10/15/2015,03/31/2017,50000,Standard Grant,10/13/2015,10/13/2015,,1600236,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
Broadening Participation in Visualization (BPViz) Workshop,09/22/2015,01/31/2017,17378,Standard Grant,02/24/2016,02/24/2016,,1636452,Sushil Prasad,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
Engaging Mathematics,11/16/2015,08/31/2016,222225,Standard Grant,11/24/2015,11/24/2015,,1613211,John Haddock,11040200,Direct For Education and Human Resources,Direct For Education and Human Resources,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
PostDoctoral Research Fellowship,08/15/2016,07/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1603416,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Goh Ryan N,Minneapolis,55455,None,None,United States,Minnesota,MN
RAPID: Offshore export of riverine water in the South Atlantic Bight during a strong El Nino event,03/01/2016,02/28/2017,40296,Standard Grant,03/02/2016,03/02/2016,,1632090,Eric C. Itsweire,06040300,Directorate For Geosciences,Directorate For Geosciences,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
EAGER: Collaborative: Toward a Test Bed for Heavy Vehicle Cyber Security Experimentation,01/01/2016,12/31/2017,129999,Standard Grant,12/24/2015,12/24/2015,,1619641,Ralph Wachter,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Colorado State University,Fort Collins,805232002,9704916355,601 S Howes St,United States,Colorado,CO
I-Corps: Improving Performance in Passive RFID Networks,02/15/2016,07/31/2016,50000,Standard Grant,02/16/2016,02/16/2016,,1623905,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Missouri University of Science and Technology,Rolla,654096506,5733414134,300 W 12th Street,United States,Missouri,MO
RAPID: Rapid and Low-cost Detection of Lead Ions in Flint Water Using a Handheld Device,03/15/2016,02/28/2017,20000,Standard Grant,03/15/2016,03/15/2016,,1631968,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,University of Wisconsin-Milwaukee,Milwaukee,532010340,4142294853,P O BOX 340,United States,Wisconsin,WI
"I-Corps: RoadsInDB: Customer Discovery in the Logistics, Delivery, Ride Sharing, Location-based Services and Analytics Verticals",03/15/2016,08/31/2016,50000,Standard Grant,03/09/2016,03/09/2016,,1634753,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
The Nanomechanical and Viscoelastic Responses of Ultrathin Polymer Films,06/01/2016,05/31/2020,525286,Standard Grant,03/04/2016,03/04/2016,,1610495,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Texas Tech University,Lubbock,794091035,8067423884,349 Administration Bldg,United States,Texas,TX
EAGER: Determining pyrolysis kinetics through time-resolved measurements of condensed phase reactions,04/01/2016,03/31/2017,65000,Standard Grant,03/15/2016,03/15/2016,,1630404,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,Iowa State University,AMES,500112207,5152945225,1138 Pearson,United States,Iowa,IA
CANSec: The Central Area Networking and Security Workshop,11/15/2015,10/31/2017,10000,Standard Grant,11/06/2015,11/06/2015,,1602041,Ralph Wachter,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Kansas Center for Research Inc,LAWRENCE,660457568,7858643441,2385 IRVING HILL RD,United States,Kansas,KS
Symposium on the Science of Science,04/01/2016,03/31/2017,35000,Standard Grant,03/21/2016,03/21/2016,,1623809,Maryann Feldman,04010000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
